factor,update_method,algorithm,builds_saved
2,stagger,BATCHSTOP4,7.865168539
3,stagger,BATCHSTOP4,4.494382022
2,stagger,BATCHDIVIDE4,-5.617977528
3,stagger,BATCHDIVIDE4,-2.247191011
-1,random_linear,BATCHBISECT,-23.59550562
-1,random_linear,BATCHSTOP4,2.247191011
-1,random_linear,BATCHDIVIDE4,-4.494382022
-1,random_exponential,BATCHBISECT,-31.46067416
-1,random_exponential,BATCHSTOP4,3.370786517
-1,random_exponential,BATCHDIVIDE4,-1.123595506
2,linear,BATCHBISECT,69.59553696
3,linear,BATCHBISECT,72.10599721
4,linear,BATCHBISECT,71.31566713
2,linear,BATCHSTOP4,75.91817759
3,linear,BATCHSTOP4,76.84797768
4,linear,BATCHSTOP4,76.56903766
2,linear,BATCHDIVIDE4,62.66852627
3,linear,BATCHDIVIDE4,63.55183636
4,linear,BATCHDIVIDE4,62.57554626
2,exponential,BATCHBISECT,70.33937703
3,exponential,BATCHBISECT,70.9902371
2,exponential,BATCHSTOP4,75.82519758
3,exponential,BATCHSTOP4,77.08042771
2,exponential,BATCHDIVIDE4,61.92468619
3,exponential,BATCHDIVIDE4,73.17526732
2,stagger,BATCHBISECT,70.80427708
3,stagger,BATCHBISECT,71.59460716
2,stagger,BATCHSTOP4,75.9646676
3,stagger,BATCHSTOP4,76.56903766
2,stagger,BATCHDIVIDE4,60.29753603
3,stagger,BATCHDIVIDE4,59.32124593
-1,random_linear,BATCHBISECT,71.31566713
-1,random_linear,BATCHSTOP4,75.54625755
-1,random_linear,BATCHDIVIDE4,60.018596
-1,random_exponential,BATCHBISECT,71.12970711
-1,random_exponential,BATCHSTOP4,76.0111576
-1,random_exponential,BATCHDIVIDE4,72.80334728
2,linear,BATCHBISECT,57.56302521
3,linear,BATCHBISECT,57.42296919
4,linear,BATCHBISECT,59.3837535
2,linear,BATCHSTOP4,65.2194211
3,linear,BATCHSTOP4,66.15312792
4,linear,BATCHSTOP4,66.52661064
2,linear,BATCHDIVIDE4,52.14752568
3,linear,BATCHDIVIDE4,52.054155
4,linear,BATCHDIVIDE4,53.82819795
2,exponential,BATCHBISECT,58.63678805
3,exponential,BATCHBISECT,58.82352941
2,exponential,BATCHSTOP4,64.61251167
3,exponential,BATCHSTOP4,66.33986928
2,exponential,BATCHDIVIDE4,51.07376284
3,exponential,BATCHDIVIDE4,62.32492997
2,stagger,BATCHBISECT,59.85060691
3,stagger,BATCHBISECT,61.15779645
2,stagger,BATCHSTOP4,66.29318394
3,stagger,BATCHSTOP4,66.52661064
2,stagger,BATCHDIVIDE4,52.10084034
3,stagger,BATCHDIVIDE4,52.19421102
-1,random_linear,BATCHBISECT,60.22408964
-1,random_linear,BATCHSTOP4,66.66666667
-1,random_linear,BATCHDIVIDE4,51.07376284
-1,random_exponential,BATCHBISECT,58.68347339
-1,random_exponential,BATCHSTOP4,64.84593838
-1,random_exponential,BATCHDIVIDE4,62.65172736
2,linear,BATCHBISECT,39.71441321
3,linear,BATCHBISECT,40.47300312
4,linear,BATCHBISECT,39.75903614
2,linear,BATCHSTOP4,51.36099955
3,linear,BATCHSTOP4,50.42391789
4,linear,BATCHSTOP4,50.11155734
2,linear,BATCHDIVIDE4,40.51762606
3,linear,BATCHDIVIDE4,40.74074074
4,linear,BATCHDIVIDE4,40.02677376
2,exponential,BATCHBISECT,40.20526551
3,exponential,BATCHBISECT,39.84828202
2,exponential,BATCHSTOP4,51.13788487
3,exponential,BATCHSTOP4,49.84381972
2,exponential,BATCHDIVIDE4,40.78536368
3,exponential,BATCHDIVIDE4,46.40785364
2,stagger,BATCHBISECT,43.32887104
3,stagger,BATCHBISECT,44.53369032
2,stagger,BATCHSTOP4,50.51316377
3,stagger,BATCHSTOP4,50.82552432
2,stagger,BATCHDIVIDE4,39.44667559
3,stagger,BATCHDIVIDE4,39.89290495
-1,random_linear,BATCHBISECT,42.34716644
-1,random_linear,BATCHSTOP4,51.45024543
-1,random_linear,BATCHDIVIDE4,38.95582329
-1,random_exponential,BATCHBISECT,42.39178938
-1,random_exponential,BATCHSTOP4,49.62070504
-1,random_exponential,BATCHDIVIDE4,43.55198572
2,linear,BATCHBISECT,64.65769456
3,linear,BATCHBISECT,65.94499707
4,linear,BATCHBISECT,66.23756583
2,linear,BATCHSTOP4,71.8548859
3,linear,BATCHSTOP4,73.14218841
4,linear,BATCHSTOP4,72.67407841
2,linear,BATCHDIVIDE4,59.04037449
3,linear,BATCHDIVIDE4,58.98186074
4,linear,BATCHDIVIDE4,59.80105325
2,exponential,BATCHBISECT,63.60444705
3,exponential,BATCHBISECT,64.89174956
2,exponential,BATCHSTOP4,71.32826214
3,exponential,BATCHSTOP4,72.38150965
2,exponential,BATCHDIVIDE4,60.2106495
3,exponential,BATCHDIVIDE4,68.92919836
2,stagger,BATCHBISECT,65.94499707
3,stagger,BATCHBISECT,66.35459333
2,stagger,BATCHSTOP4,72.38150965
3,stagger,BATCHSTOP4,72.3229959
2,stagger,BATCHDIVIDE4,55.99765945
3,stagger,BATCHDIVIDE4,56.1732007
-1,random_linear,BATCHBISECT,66.53013458
-1,random_linear,BATCHSTOP4,71.8548859
-1,random_linear,BATCHDIVIDE4,57.92861322
-1,random_exponential,BATCHBISECT,67.05675834
-1,random_exponential,BATCHSTOP4,72.90813341
-1,random_exponential,BATCHDIVIDE4,66.17905208
2,linear,BATCHBISECT,-4.347826087
3,linear,BATCHBISECT,-1.413043478
4,linear,BATCHBISECT,-1.630434783
2,linear,BATCHSTOP4,3.913043478
3,linear,BATCHSTOP4,3.47826087
4,linear,BATCHSTOP4,3.043478261
2,linear,BATCHDIVIDE4,1.956521739
3,linear,BATCHDIVIDE4,2.010869565
4,linear,BATCHDIVIDE4,1.902173913
2,exponential,BATCHBISECT,0.108695652
3,exponential,BATCHBISECT,-2.608695652
2,exponential,BATCHSTOP4,4.402173913
3,exponential,BATCHSTOP4,2.934782609
2,exponential,BATCHDIVIDE4,2.391304348
3,exponential,BATCHDIVIDE4,1.467391304
2,stagger,BATCHBISECT,0.326086957
3,stagger,BATCHBISECT,0.054347826
2,stagger,BATCHSTOP4,4.293478261
3,stagger,BATCHSTOP4,3.695652174
2,stagger,BATCHDIVIDE4,2.173913043
3,stagger,BATCHDIVIDE4,2.119565217
-1,random_linear,BATCHBISECT,-1.086956522
-1,random_linear,BATCHSTOP4,3.913043478
-1,random_linear,BATCHDIVIDE4,1.847826087
-1,random_exponential,BATCHBISECT,-0.869565217
-1,random_exponential,BATCHSTOP4,3.695652174
-1,random_exponential,BATCHDIVIDE4,1.358695652
2,linear,BATCHBISECT,28.15479529
3,linear,BATCHBISECT,28.21088054
4,linear,BATCHBISECT,28.26696579
2,linear,BATCHSTOP4,43.46606842
3,linear,BATCHSTOP4,42.51261918
4,linear,BATCHSTOP4,41.83959619
2,linear,BATCHDIVIDE4,33.707235
3,linear,BATCHDIVIDE4,35.05328099
4,linear,BATCHDIVIDE4,34.26808749
2,exponential,BATCHBISECT,30.90297252
3,exponential,BATCHBISECT,27.08917555
2,exponential,BATCHSTOP4,44.47560292
3,exponential,BATCHSTOP4,42.12002243
2,exponential,BATCHDIVIDE4,34.99719574
3,exponential,BATCHDIVIDE4,35.55804823
2,stagger,BATCHBISECT,31.35165451
3,stagger,BATCHBISECT,30.79080202
2,stagger,BATCHSTOP4,43.52215367
3,stagger,BATCHSTOP4,43.85866517
2,stagger,BATCHDIVIDE4,31.74425126
3,stagger,BATCHDIVIDE4,34.09983174
-1,random_linear,BATCHBISECT,29.72518228
-1,random_linear,BATCHSTOP4,43.57823892
-1,random_linear,BATCHDIVIDE4,34.49242849
-1,random_exponential,BATCHBISECT,26.3600673
-1,random_exponential,BATCHSTOP4,42.40044868
-1,random_exponential,BATCHDIVIDE4,33.931576
2,linear,BATCHBISECT,39.54014323
3,linear,BATCHBISECT,40.82171127
4,linear,BATCHBISECT,41.23633622
2,linear,BATCHSTOP4,49.30267622
3,linear,BATCHSTOP4,49.98115341
4,linear,BATCHSTOP4,49.71730117
2,linear,BATCHDIVIDE4,40.18092725
3,linear,BATCHDIVIDE4,41.50018847
4,linear,BATCHDIVIDE4,41.31172258
2,exponential,BATCHBISECT,38.29626838
3,exponential,BATCHBISECT,41.12325669
2,exponential,BATCHSTOP4,48.43573313
3,exponential,BATCHSTOP4,49.64191481
2,exponential,BATCHDIVIDE4,39.80399548
3,exponential,BATCHDIVIDE4,46.02336977
2,stagger,BATCHBISECT,42.06558613
3,stagger,BATCHBISECT,42.48021108
2,stagger,BATCHSTOP4,50.24500565
3,stagger,BATCHSTOP4,50.24500565
2,stagger,BATCHDIVIDE4,39.01243875
3,stagger,BATCHDIVIDE4,40.29400678
-1,random_linear,BATCHBISECT,41.99019977
-1,random_linear,BATCHSTOP4,50.24500565
-1,random_linear,BATCHDIVIDE4,39.84168865
-1,random_exponential,BATCHBISECT,37.69317753
-1,random_exponential,BATCHSTOP4,49.56652846
-1,random_exponential,BATCHDIVIDE4,44.85488127
2,linear,BATCHBISECT,48.64516129
3,linear,BATCHBISECT,48.64516129
4,linear,BATCHBISECT,49.59139785
2,linear,BATCHSTOP4,57.80645161
3,linear,BATCHSTOP4,57.67741935
4,linear,BATCHSTOP4,57.93548387
2,linear,BATCHDIVIDE4,48.7311828
3,linear,BATCHDIVIDE4,48
4,linear,BATCHDIVIDE4,48.51612903
2,exponential,BATCHBISECT,49.07526882
3,exponential,BATCHBISECT,48.21505376
2,exponential,BATCHSTOP4,57.84946237
3,exponential,BATCHSTOP4,57.5483871
2,exponential,BATCHDIVIDE4,51.52688172
3,exponential,BATCHDIVIDE4,53.20430108
2,stagger,BATCHBISECT,49.97849462
3,stagger,BATCHBISECT,49.16129032
2,stagger,BATCHSTOP4,57.67741935
3,stagger,BATCHSTOP4,57.76344086
2,stagger,BATCHDIVIDE4,46.27956989
3,stagger,BATCHDIVIDE4,46.79569892
-1,random_linear,BATCHBISECT,48.8172043
-1,random_linear,BATCHSTOP4,58.32258065
-1,random_linear,BATCHDIVIDE4,47.56989247
-1,random_exponential,BATCHBISECT,47.35483871
-1,random_exponential,BATCHSTOP4,56
-1,random_exponential,BATCHDIVIDE4,49.93548387
2,linear,BATCHBISECT,38.13405797
3,linear,BATCHBISECT,36.68478261
4,linear,BATCHBISECT,37.36413043
2,linear,BATCHSTOP4,51.76630435
3,linear,BATCHSTOP4,50.86050725
4,linear,BATCHSTOP4,50.9057971
2,linear,BATCHDIVIDE4,40.57971014
3,linear,BATCHDIVIDE4,39.80978261
4,linear,BATCHDIVIDE4,39.62862319
2,exponential,BATCHBISECT,38.76811594
3,exponential,BATCHBISECT,35.09963768
2,exponential,BATCHSTOP4,52.89855072
3,exponential,BATCHSTOP4,48.73188406
2,exponential,BATCHDIVIDE4,42.66304348
3,exponential,BATCHDIVIDE4,42.70833333
2,stagger,BATCHBISECT,38.31521739
3,stagger,BATCHBISECT,40.26268116
2,stagger,BATCHSTOP4,50.54347826
3,stagger,BATCHSTOP4,52.30978261
2,stagger,BATCHDIVIDE4,36.27717391
3,stagger,BATCHDIVIDE4,38.72282609
-1,random_linear,BATCHBISECT,39.35688406
-1,random_linear,BATCHSTOP4,50.99637681
-1,random_linear,BATCHDIVIDE4,36.1865942
-1,random_exponential,BATCHBISECT,35.05434783
-1,random_exponential,BATCHSTOP4,48.46014493
-1,random_exponential,BATCHDIVIDE4,41.21376812
2,linear,BATCHBISECT,50.18844221
