,Unnamed: 0,project,algorithm,batch_size,update_method,factor,num_of_builds,builds_saved,testall_size,fr_bracket,size_bracket
142,142,apache-tajo.csv,BATCHSTOP4,-1,stagger,3,785,39.00543900543901,1287,low,lt 5k
143,143,apache-tajo.csv,BATCHSTOP4,-1,stagger,4,857,33.411033411033415,1287,low,lt 5k
144,144,apache-tajo.csv,BATCHDIVIDE4,-1,stagger,2,859,33.255633255633256,1287,low,lt 5k
145,145,apache-tajo.csv,BATCHDIVIDE4,-1,stagger,3,853,33.72183372183372,1287,low,lt 5k
146,146,apache-tajo.csv,BATCHDIVIDE4,-1,stagger,4,945,26.573426573426573,1287,low,lt 5k
147,147,apache-tajo.csv,BATCHBISECT,-1,random_linear,-1,1014,21.212121212121215,1287,low,lt 5k
148,148,apache-tajo.csv,BATCHSTOP4,-1,random_linear,-1,830,35.50893550893551,1287,low,lt 5k
149,149,apache-tajo.csv,BATCHDIVIDE4,-1,random_linear,-1,913,29.059829059829056,1287,low,lt 5k
150,150,apache-tajo.csv,BATCHBISECT,-1,random_exponential,-1,997,22.53302253302253,1287,low,lt 5k
151,151,apache-tajo.csv,BATCHSTOP4,-1,random_exponential,-1,829,35.58663558663558,1287,low,lt 5k
152,152,apache-tajo.csv,BATCHDIVIDE4,-1,random_exponential,-1,867,32.63403263403264,1287,low,lt 5k
153,153,apache-tajo.csv,BATCHBISECT,-1,random_random,-1,981,23.776223776223773,1287,low,lt 5k
154,154,apache-tajo.csv,BATCHSTOP4,-1,random_random,-1,820,36.28593628593629,1287,low,lt 5k
155,155,apache-tajo.csv,BATCHDIVIDE4,-1,random_random,-1,954,25.87412587412588,1287,low,lt 5k
156,156,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,1,901,15.319548872180448,1064,high,lt 5k
157,157,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,2,929,12.687969924812023,1064,high,lt 5k
158,158,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,3,930,12.593984962406012,1064,high,lt 5k
159,159,osmdroid-osmdroid.csv,BATCHBISECT,-1,linear,4,935,12.12406015037594,1064,high,lt 5k
160,160,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,1,832,21.80451127819549,1064,high,lt 5k
161,161,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,2,821,22.838345864661648,1064,high,lt 5k
162,162,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,3,832,21.80451127819549,1064,high,lt 5k
163,163,osmdroid-osmdroid.csv,BATCHSTOP4,-1,linear,4,825,22.4624060150376,1064,high,lt 5k
164,164,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,1,835,21.52255639097744,1064,high,lt 5k
165,165,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,2,834,21.61654135338345,1064,high,lt 5k
166,166,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,3,852,19.924812030075188,1064,high,lt 5k
167,167,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,linear,4,859,19.26691729323308,1064,high,lt 5k
168,168,osmdroid-osmdroid.csv,BATCHBISECT,-1,exponential,2,955,10.244360902255636,1064,high,lt 5k
169,169,osmdroid-osmdroid.csv,BATCHBISECT,-1,exponential,3,907,14.755639097744364,1064,high,lt 5k
170,170,osmdroid-osmdroid.csv,BATCHBISECT,-1,exponential,4,983,7.612781954887211,1064,high,lt 5k
171,171,osmdroid-osmdroid.csv,BATCHSTOP4,-1,exponential,2,866,18.609022556390983,1064,high,lt 5k
172,172,osmdroid-osmdroid.csv,BATCHSTOP4,-1,exponential,3,822,22.74436090225564,1064,high,lt 5k
173,173,osmdroid-osmdroid.csv,BATCHSTOP4,-1,exponential,4,893,16.07142857142857,1064,high,lt 5k
174,174,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,exponential,2,884,16.917293233082702,1064,high,lt 5k
175,175,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,exponential,3,823,22.650375939849624,1064,high,lt 5k
176,176,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,exponential,4,937,11.936090225563916,1064,high,lt 5k
177,177,osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger,2,923,13.25187969924812,1064,high,lt 5k
178,178,osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger,3,918,13.721804511278194,1064,high,lt 5k
179,179,osmdroid-osmdroid.csv,BATCHBISECT,-1,stagger,4,957,10.056390977443613,1064,high,lt 5k
180,180,osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger,2,849,20.20676691729324,1064,high,lt 5k
181,181,osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger,3,849,20.20676691729324,1064,high,lt 5k
182,182,osmdroid-osmdroid.csv,BATCHSTOP4,-1,stagger,4,875,17.763157894736835,1064,high,lt 5k
183,183,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger,2,870,18.23308270676692,1064,high,lt 5k
184,184,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger,3,874,17.85714285714286,1064,high,lt 5k
185,185,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,stagger,4,922,13.345864661654131,1064,high,lt 5k
186,186,osmdroid-osmdroid.csv,BATCHBISECT,-1,random_linear,-1,1001,5.921052631578945,1064,high,lt 5k
187,187,osmdroid-osmdroid.csv,BATCHSTOP4,-1,random_linear,-1,868,18.421052631578945,1064,high,lt 5k
188,188,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,random_linear,-1,896,15.78947368421052,1064,high,lt 5k
189,189,osmdroid-osmdroid.csv,BATCHBISECT,-1,random_exponential,-1,948,10.902255639097746,1064,high,lt 5k
190,190,osmdroid-osmdroid.csv,BATCHSTOP4,-1,random_exponential,-1,866,18.609022556390983,1064,high,lt 5k
191,191,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,random_exponential,-1,909,14.567669172932328,1064,high,lt 5k
192,192,osmdroid-osmdroid.csv,BATCHBISECT,-1,random_random,-1,960,9.774436090225564,1064,high,lt 5k
193,193,osmdroid-osmdroid.csv,BATCHSTOP4,-1,random_random,-1,836,21.42857142857143,1064,high,lt 5k
194,194,osmdroid-osmdroid.csv,BATCHDIVIDE4,-1,random_random,-1,887,16.635338345864668,1064,high,lt 5k
195,195,DSpace-DSpace.csv,BATCHBISECT,-1,linear,1,566,64.08629441624365,1576,low,lt 5k
196,196,DSpace-DSpace.csv,BATCHBISECT,-1,linear,2,560,64.46700507614213,1576,low,lt 5k
197,197,DSpace-DSpace.csv,BATCHBISECT,-1,linear,3,577,63.38832487309645,1576,low,lt 5k
198,198,DSpace-DSpace.csv,BATCHBISECT,-1,linear,4,576,63.45177664974619,1576,low,lt 5k
199,199,DSpace-DSpace.csv,BATCHSTOP4,-1,linear,1,533,66.18020304568529,1576,low,lt 5k
200,200,DSpace-DSpace.csv,BATCHSTOP4,-1,linear,2,531,66.30710659898477,1576,low,lt 5k
201,201,DSpace-DSpace.csv,BATCHSTOP4,-1,linear,3,556,64.72081218274111,1576,low,lt 5k
202,202,DSpace-DSpace.csv,BATCHSTOP4,-1,linear,4,525,66.68781725888326,1576,low,lt 5k
203,203,DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,1,710,54.9492385786802,1576,low,lt 5k
204,204,DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,2,723,54.1243654822335,1576,low,lt 5k
205,205,DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,3,716,54.568527918781726,1576,low,lt 5k
206,206,DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,4,714,54.69543147208122,1576,low,lt 5k
207,207,DSpace-DSpace.csv,BATCHBISECT,-1,exponential,2,583,63.00761421319797,1576,low,lt 5k
208,208,DSpace-DSpace.csv,BATCHBISECT,-1,exponential,3,598,62.055837563451774,1576,low,lt 5k
209,209,DSpace-DSpace.csv,BATCHBISECT,-1,exponential,4,571,63.76903553299493,1576,low,lt 5k
210,210,DSpace-DSpace.csv,BATCHSTOP4,-1,exponential,2,565,64.1497461928934,1576,low,lt 5k
211,211,DSpace-DSpace.csv,BATCHSTOP4,-1,exponential,3,549,65.16497461928934,1576,low,lt 5k
212,212,DSpace-DSpace.csv,BATCHSTOP4,-1,exponential,4,553,64.91116751269035,1576,low,lt 5k
213,213,DSpace-DSpace.csv,BATCHDIVIDE4,-1,exponential,2,717,54.505076142131976,1576,low,lt 5k
214,214,DSpace-DSpace.csv,BATCHDIVIDE4,-1,exponential,3,566,64.08629441624365,1576,low,lt 5k
215,215,DSpace-DSpace.csv,BATCHDIVIDE4,-1,exponential,4,718,54.44162436548224,1576,low,lt 5k
216,216,DSpace-DSpace.csv,BATCHBISECT,-1,stagger,2,586,62.81725888324873,1576,low,lt 5k
217,217,DSpace-DSpace.csv,BATCHBISECT,-1,stagger,3,571,63.76903553299493,1576,low,lt 5k
218,218,DSpace-DSpace.csv,BATCHBISECT,-1,stagger,4,576,63.45177664974619,1576,low,lt 5k
219,219,DSpace-DSpace.csv,BATCHSTOP4,-1,stagger,2,560,64.46700507614213,1576,low,lt 5k
220,220,DSpace-DSpace.csv,BATCHSTOP4,-1,stagger,3,537,65.92639593908629,1576,low,lt 5k
221,221,DSpace-DSpace.csv,BATCHSTOP4,-1,stagger,4,550,65.1015228426396,1576,low,lt 5k
222,222,DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger,2,707,55.13959390862944,1576,low,lt 5k
223,223,DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger,3,693,56.02791878172589,1576,low,lt 5k
224,224,DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger,4,726,53.934010152284266,1576,low,lt 5k
225,225,DSpace-DSpace.csv,BATCHBISECT,-1,random_linear,-1,569,63.89593908629442,1576,low,lt 5k
226,226,DSpace-DSpace.csv,BATCHSTOP4,-1,random_linear,-1,524,66.751269035533,1576,low,lt 5k
227,227,DSpace-DSpace.csv,BATCHDIVIDE4,-1,random_linear,-1,628,60.15228426395939,1576,low,lt 5k
228,228,DSpace-DSpace.csv,BATCHBISECT,-1,random_exponential,-1,596,62.18274111675127,1576,low,lt 5k
229,229,DSpace-DSpace.csv,BATCHSTOP4,-1,random_exponential,-1,542,65.60913705583756,1576,low,lt 5k
230,230,DSpace-DSpace.csv,BATCHDIVIDE4,-1,random_exponential,-1,645,59.0736040609137,1576,low,lt 5k
231,231,DSpace-DSpace.csv,BATCHBISECT,-1,random_random,-1,569,63.89593908629442,1576,low,lt 5k
232,232,DSpace-DSpace.csv,BATCHSTOP4,-1,random_random,-1,544,65.48223350253807,1576,low,lt 5k
233,233,DSpace-DSpace.csv,BATCHDIVIDE4,-1,random_random,-1,714,54.69543147208122,1576,low,lt 5k
234,234,apache-nifi.csv,BATCHBISECT,-1,linear,1,971,23.60346184107003,1271,med,lt 5k
235,235,apache-nifi.csv,BATCHBISECT,-1,linear,2,992,21.951219512195124,1271,med,lt 5k
236,236,apache-nifi.csv,BATCHBISECT,-1,linear,3,995,21.715184893784425,1271,med,lt 5k
237,237,apache-nifi.csv,BATCHBISECT,-1,linear,4,1012,20.37765538945712,1271,med,lt 5k
238,238,apache-nifi.csv,BATCHSTOP4,-1,linear,1,823,35.24783634933124,1271,med,lt 5k
239,239,apache-nifi.csv,BATCHSTOP4,-1,linear,2,834,34.38237608182533,1271,med,lt 5k
