,project,algorithm,batch_size,update_method,factor,total_duration,testall_duration,time_saved,builds_made,builds_saved,testall_size
164,osmdroid-osmdroid.csv,BATCHSTOP4,-1,random_random,-1,8856119.0,11350519.0,21.976087613262436,901,5.2576235541535254,951
165,DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,1,642659.0,1063649.0,39.57978618886494,659,56.89993459777632,1529
166,DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,2,620917.0,1063649.0,41.62388156243272,640,58.142576847612816,1529
167,DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,3,632886.0,1063649.0,40.49860433282032,634,58.53499018966645,1529
168,DSpace-DSpace.csv,BATCHDIVIDE4,-1,linear,4,640721.0,1063649.0,39.76198915243656,662,56.70372792674951,1529
169,DSpace-DSpace.csv,BATCHBISECT,-1,linear,1,409059.0,1063649.0,61.54191843361861,587,61.60889470241988,1529
170,DSpace-DSpace.csv,BATCHBISECT,-1,linear,2,405519.0,1063649.0,61.87473499246462,589,61.47809025506867,1529
171,DSpace-DSpace.csv,BATCHBISECT,-1,linear,3,426054.0,1063649.0,59.944116903226536,557,63.57096141268803,1529
172,DSpace-DSpace.csv,BATCHBISECT,-1,linear,4,416080.0,1063649.0,60.88183225857402,565,63.04774362328319,1529
173,DSpace-DSpace.csv,BATCHSTOP4,-1,linear,1,415106.0,1063649.0,60.97340382024521,566,62.982341399607584,1529
174,DSpace-DSpace.csv,BATCHSTOP4,-1,linear,2,378072.0,1063649.0,64.4551915152461,542,64.55199476782211,1529
175,DSpace-DSpace.csv,BATCHSTOP4,-1,linear,3,405151.0,1063649.0,61.90933287202827,540,64.68279921517332,1529
176,DSpace-DSpace.csv,BATCHSTOP4,-1,linear,4,399849.0,1063649.0,62.407805582480684,571,62.65533028122956,1529
177,DSpace-DSpace.csv,BATCHDIVIDE4,-1,exponential,2,610385.0,1063649.0,42.61405783298814,646,57.750163505559186,1529
178,DSpace-DSpace.csv,BATCHDIVIDE4,-1,exponential,3,541461.0,1063649.0,49.09401503691537,622,59.31981687377371,1529
179,DSpace-DSpace.csv,BATCHBISECT,-1,exponential,2,407964.0,1063649.0,61.64486592851589,570,62.720732504905165,1529
180,DSpace-DSpace.csv,BATCHBISECT,-1,exponential,3,400834.0,1063649.0,62.31519984506167,591,61.34728580771746,1529
181,DSpace-DSpace.csv,BATCHSTOP4,-1,exponential,2,390733.0,1063649.0,63.2648552294977,559,63.44015696533682,1529
182,DSpace-DSpace.csv,BATCHSTOP4,-1,exponential,3,391765.0,1063649.0,63.16783074115615,568,62.851536952256374,1529
183,DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger,2,618841.0,1063649.0,41.819058730840716,648,57.619359058207976,1529
184,DSpace-DSpace.csv,BATCHDIVIDE4,-1,stagger,3,647333.0,1063649.0,39.14035551201571,660,56.83453237410072,1529
185,DSpace-DSpace.csv,BATCHBISECT,-1,stagger,2,397651.0,1063649.0,62.61445270009185,576,62.328319162851535,1529
186,DSpace-DSpace.csv,BATCHBISECT,-1,stagger,3,377295.0,1063649.0,64.52824192943349,561,63.30935251798561,1529
187,DSpace-DSpace.csv,BATCHSTOP4,-1,stagger,2,385636.0,1063649.0,63.74405466464971,553,63.83257030739045,1529
188,DSpace-DSpace.csv,BATCHSTOP4,-1,stagger,3,396021.0,1063649.0,62.76769874272434,550,64.02877697841727,1529
