,project,algorithm,ci_skip,batch_size,method,update_method,factor,num_of_builds,builds_saved,testall_size,time_saved,total_duration,testall_duration
156,mybatis-mybatis-3.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,630,70.7112970711297,2151,68.68050387506176,976789.0,3118789.0
157,mybatis-mybatis-3.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,659,69.36308693630869,2151,66.7055065283352,1038385.0,3118789.0
158,mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,539,74.94188749418875,2151,75.31102617073486,769997.0,3118789.0
159,mybatis-mybatis-3.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,564,73.77963737796374,2151,72.82589492267672,847503.0,3118789.0
160,mybatis-mybatis-3.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,764,64.48163644816364,2151,45.550051638632816,1698179.0,3118789.0
161,mybatis-mybatis-3.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,801,62.76150627615063,2151,42.000981791329906,1808867.0,3118789.0
162,mybatis-mybatis-3.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,600,71.31931166347992,2092,67.87435764330323,1001931.0,3118789.0
163,mybatis-mybatis-3.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,608,70.93690248565966,2092,68.20031749502772,991765.0,3118789.0
164,mybatis-mybatis-3.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,575,72.51434034416826,2092,69.65004686113744,946551.0,3118789.0
165,mybatis-mybatis-3.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,564,73.04015296367113,2092,70.31017487877506,925963.0,3118789.0
166,mybatis-mybatis-3.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,781,62.66730401529637,2092,42.74098055367003,1785788.0,3118789.0
167,mybatis-mybatis-3.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,783,62.5717017208413,2092,41.69698559280541,1818348.0,3118789.0
168,naver-pinpoint.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,836,60.971055088702144,2142,59.18125409715783,636990.0,1560533.0
169,naver-pinpoint.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,849,60.364145658263304,2142,59.20054237878981,636689.0,1560533.0
170,naver-pinpoint.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,809,62.23155929038282,2142,65.18676631638036,543272.0,1560533.0
171,naver-pinpoint.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,844,60.59757236227824,2142,62.44206306435045,586104.0,1560533.0
172,naver-pinpoint.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,999,53.36134453781513,2142,39.73321935518185,940483.0,1560533.0
173,naver-pinpoint.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,1039,51.49393090569561,2142,37.00434402861074,983068.0,1560533.0
174,naver-pinpoint.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,790,59.341224909933096,1943,60.72053586819375,612969.0,1560533.0
175,naver-pinpoint.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,783,59.701492537313435,1943,60.519578887469855,616105.0,1560533.0
