,project,algorithm,ci_skip,batch_size,method,update_method,factor,num_of_builds,builds_saved,testall_size
109,square-wire.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,337,69.96434937611409,1122
110,square-wire.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,311,72.28163992869875,1122
111,square-wire.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,314,72.01426024955437,1122
112,square-wire.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,442,60.60606060606061,1122
113,square-wire.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,451,59.80392156862745,1122
114,square-wire.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,315,70.69767441860465,1075
115,square-wire.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,349,67.53488372093022,1075
116,square-wire.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,292,72.83720930232559,1075
117,square-wire.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,322,70.04651162790698,1075
118,square-wire.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,421,60.83720930232558,1075
119,square-wire.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,440,59.06976744186046,1075
120,puniverse-quasar.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,692,45.38279400157853,1267
121,puniverse-quasar.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,663,47.67166535122336,1267
122,puniverse-quasar.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,612,51.69692186266772,1267
123,puniverse-quasar.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,585,53.82794001578532,1267
124,puniverse-quasar.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,2,693,45.30386740331492,1267
125,puniverse-quasar.csv,BATCHDIVIDE4,0,-1,new_dynamic,stagger_mfu,3,665,47.51381215469613,1267
126,puniverse-quasar.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,2,632,45.51724137931034,1160
127,puniverse-quasar.csv,BATCHBISECT,1,-1,new_dynamic,stagger_mfu,3,662,42.93103448275862,1160
128,puniverse-quasar.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,2,571,50.775862068965516,1160
129,puniverse-quasar.csv,BATCHSTOP4,1,-1,new_dynamic,stagger_mfu,3,590,49.13793103448276,1160
130,puniverse-quasar.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,2,641,44.741379310344826,1160
131,puniverse-quasar.csv,BATCHDIVIDE4,1,-1,new_dynamic,stagger_mfu,3,654,43.62068965517241,1160
132,dropwizard-dropwizard.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,2,639,68.36633663366337,2020
133,dropwizard-dropwizard.csv,BATCHBISECT,0,-1,new_dynamic,stagger_mfu,3,666,67.02970297029702,2020
134,dropwizard-dropwizard.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,2,601,70.24752475247524,2020
135,dropwizard-dropwizard.csv,BATCHSTOP4,0,-1,new_dynamic,stagger_mfu,3,614,69.60396039603961,2020
